edo_num,edo,tm,anio,s,ts,ssm
2,Baja California,2,2015,0.0865,8.65,0
2,Baja California,3,2015,0.0428,4.28,0
2,Baja California,4,2015,0.0521,5.21,0
2,Baja California,1,2016,0.0365,3.65,0
2,Baja California,2,2016,0.0503,5.03,0
2,Baja California,3,2016,0.06,6,0
2,Baja California,4,2016,0.0631,6.31,0
2,Baja California,1,2017,0.0342,3.42,0
2,Baja California,2,2017,0.0508,5.08,0
2,Baja California,3,2017,0.0469,4.69,0
2,Baja California,4,2017,0.0412,4.12,0
2,Baja California,1,2018,0.0391,3.91,0
2,Baja California,2,2018,0.0561,5.61,0
2,Baja California,3,2018,0.0833,8.33,0
2,Baja California,4,2018,0.0324,3.24,0
2,Baja California,1,2019,0.0221,2.21,0
2,Baja California,2,2019,0.0417,4.17,0
2,Baja California,3,2019,0.045,4.5,0
2,Baja California,4,2019,0.0271,2.71,0
2,Baja California,1,2020,0.0463,4.63,0
2,Baja California,2,2020,0.0279,2.79,0
2,Baja California,3,2020,0.0131,1.31,0
2,Baja California,4,2020,0.0065,0.65,0
3,Baja California Sur,1,2004,0.1,10,0
3,Baja California Sur,2,2004,0.2174,21.74,0
3,Baja California Sur,3,2004,0.1111,11.11,0
3,Baja California Sur,4,2004,0.1,10,0
3,Baja California Sur,1,2005,0.0741,7.41,0
3,Baja California Sur,2,2005,0.05,5,0
3,Baja California Sur,3,2005,0.1212,12.12,0
3,Baja California Sur,4,2005,0.0833,8.33,0
3,Baja California Sur,1,2006,0.0667,6.67,0
3,Baja California Sur,2,2006,0.0882,8.82,0
3,Baja California Sur,3,2006,0.0769,7.69,0
3,Baja California Sur,4,2006,0.1154,11.54,0
3,Baja California Sur,1,2007,0.0303,3.03,0
3,Baja California Sur,2,2007,0.1081,10.81,0
3,Baja California Sur,3,2007,0.1714,17.14,0
3,Baja California Sur,4,2007,0.087,8.7,0
3,Baja California Sur,1,2008,0.0645,6.45,0
3,Baja California Sur,2,2008,0.0222,2.22,0
3,Baja California Sur,3,2008,0.0714,7.14,0
3,Baja California Sur,4,2008,0.0465,4.65,0
3,Baja California Sur,1,2009,0.0476,4.76,0
3,Baja California Sur,2,2009,0.1538,15.38,0
3,Baja California Sur,3,2009,0.0968,9.68,0
3,Baja California Sur,4,2009,0.1154,11.54,0
3,Baja California Sur,1,2010,0.0476,4.76,0
3,Baja California Sur,2,2010,0.0938,9.38,0
3,Baja California Sur,3,2010,0.1481,14.81,0
3,Baja California Sur,4,2010,0.0857,8.57,0
3,Baja California Sur,1,2011,0.0645,6.45,0
3,Baja California Sur,2,2011,0.0435,4.35,0
3,Baja California Sur,3,2011,0,0,0
3,Baja California Sur,4,2011,0.1304,13.04,0
3,Baja California Sur,1,2012,0.0909,9.09,0
3,Baja California Sur,2,2012,0.25,25,0
3,Baja California Sur,3,2012,0.0526,5.26,0
3,Baja California Sur,4,2012,0.1,10,0
3,Baja California Sur,1,2013,0.16,16,0
3,Baja California Sur,2,2013,0.2083,20.83,0
3,Baja California Sur,3,2013,0.1471,14.71,0
3,Baja California Sur,4,2013,0.04,4,0
